equity_curve,predicted,actual
75.22439985091324,buy,buy
74.47132815833255,buy,buy
73.72579546872551,buy,buy
72.98772630911071,buy,buy
72.25704596206702,buy,buy
71.53368045816964,buy,buy
70.81755656850186,buy,buy
70.10860179724192,buy,buy
69.40674437432392,buy,buy
68.71191324817234,buy,buy
68.02403807850915,buy,buy
67.34304922923307,buy,buy
66.66887776137007,buy,buy
66.00145542609437,buy,buy
65.34071465781938,buy,buy
64.6865885673578,buy,buy
64.03901093515022,buy,buy
63.3979162045614,buy,buy
62.763239475243786,buy,buy
62.1349164965674,buy,buy
61.51288366111552,buy,buy
60.897077998245436,buy,buy
60.28743716771377,buy,buy
59.68389945336548,buy,buy
59.086403756886135,buy,buy
58.49488959161674,buy,buy
57.9092970764304,buy,buy
57.329566929670364,buy,buy
56.75564046314873,buy,buy
56.18745957620523,buy,buy
55.62496674982546,buy,buy
55.06810504081806,buy,buy
54.516818076050114,buy,buy
53.971050046740324,buy,buy
53.430745702809254,buy,buy
52.89585034728619,buy,buy
52.36630983077196,buy,buy
51.84207054595717,buy,buy
51.323079422195384,buy,buy
50.80928392013055,buy,buy
50.30063202637827,buy,buy
49.7970722482603,buy,buy
49.298553608591746,buy,buy
48.805025640520476,buy,buy
48.31643838241815,buy,buy
47.832742372822445,buy,buy
47.35388864542989,buy,buy
46.879828724138825,buy,buy
46.41051461814199,buy,buy
45.945898817068226,buy,buy
45.485934286172856,buy,buy
45.03057446157618,buy,buy
44.57977324554962,buy,buy
44.1334850018491,buy,buy
43.69166455109514,buy,buy
43.25426716619913,buy,buy
42.821248567835504,buy,buy
42.392564919959156,buy,buy
41.96817282536775,buy,buy
41.548029321308476,buy,buy
41.13209187512877,buy,buy
40.720318379970585,buy,buy
40.31266715050774,buy,buy
39.90909691872601,buy,buy
39.50956682974535,buy,buy
39.11403643768407,buy,buy
38.7224657015643,buy,buy
38.334814981258546,buy,buy
37.951045033476724,buy,buy
37.571117007793454,buy,buy
37.19499244271508,buy,buy
36.82263326178609,buy,buy
36.45400176973445,buy,buy
36.08906064865563,buy,buy
35.72777295423476,buy,buy
35.3701021120066,buy,buy
35.016011913652996,buy,buy
34.66546651333738,buy,buy
34.318430424075956,buy,buy
33.97486851414524,buy,buy
33.63474600352553,buy,buy
33.298028460379996,buy,buy
32.96468179756905,buy,buy
32.63467226919954,buy,buy
32.307966467208566,buy,buy
31.984531317981443,buy,buy
31.664334079003538,buy,buy
31.347342335545633,buy,buy
31.03352399738246,buy,buy
30.722847295544092,buy,buy
30.41528077909986,buy,buy
30.110793311974447,buy,buy
29.80935406979589,buy,buy
29.5109325367751,buy,buy
29.215498502616647,buy,buy
28.923022059460457,buy,buy
28.63347359885413,buy,buy
28.34682380875558,buy,buy
28.06304367056566,buy,buy
27.782104456190496,buy,buy
27.50397772513326,buy,buy
27.22863532161502,buy,buy
26.956049371724426,buy,buy
26.686192280595943,buy,buy
26.41903672961632,buy,buy
26.154555673659022,buy,buy
25.892722338346356,buy,buy
25.633510217339005,buy,buy
25.376893069652695,buy,buy
25.12284491700172,buy,buy
24.871340041169084,buy,buy
24.62235298140292,buy,buy
24.375858531839036,buy,buy
24.13183173894922,buy,buy
23.890247899015105,buy,buy
23.65108255562732,buy,buy
23.414311497209685,buy,buy
23.179910754568184,buy,buy
22.94785659846447,buy,buy
22.71812553721367,buy,buy
22.490694314306246,buy,buy
22.265539906053643,buy,buy
22.04263951925752,buy,buy
21.821970588902314,buy,buy
21.6035107758709,buy,buy
21.387237964683127,buy,buy
21.173130261256972,buy,buy
